sha256,canonical_abs_path,canonical_rel_path,filename,ext,size_bytes,width,height,root_key,subject,subject_detail,source_platform,source_collection,source_creator,source_confidence,content_kind,duplicate_count,suggested_title,suggested_image_code,db_ready,bucket,bucket_reason
44f71da97bad7ea6738a63066ed0056fd7eb3f050603330e44ea74abdbbcb414,D:\Documents\privat\MillenniumFalcon\mf\References\historical\0338ae2919539afb325b2178a0030213.jpg,historical\0338ae2919539afb325b2178a0030213.jpg,0338ae2919539afb325b2178a0030213.jpg,.jpg,174762,800,1081,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-44F71DA97BAD,yes,needs_review,historical_compilation
2eaac4dc0a85ba643724b34b16b6eae12d26e120ac39127a3eb5735e9ced0691,D:\Documents\privat\MillenniumFalcon\mf\References\historical\03a34b9d1918d73ce31ca9c59f3298c5.jpg,historical\03a34b9d1918d73ce31ca9c59f3298c5.jpg,03a34b9d1918d73ce31ca9c59f3298c5.jpg,.jpg,90895,640,424,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-2EAAC4DC0A85,yes,needs_review,historical_compilation
7eabb705b40b40ead68b37290ddbf9d9d4916a3deb404e1b2f10b79e1585f2c0,D:\Documents\privat\MillenniumFalcon\mf\References\historical\087185fab6021b678a0ad776a131fb0a.jpg,historical\087185fab6021b678a0ad776a131fb0a.jpg,087185fab6021b678a0ad776a131fb0a.jpg,.jpg,55078,640,432,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-7EABB705B40B,yes,needs_review,historical_compilation
d758a466e4411b833b477a2a924f46fa3dc4887ea3790f5b3539f78a4bcfcf7b,D:\Documents\privat\MillenniumFalcon\mf\References\historical\0b34f8b1b8920ccb35bbfcb90038be44.jpg,historical\0b34f8b1b8920ccb35bbfcb90038be44.jpg,0b34f8b1b8920ccb35bbfcb90038be44.jpg,.jpg,57848,750,750,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-D758A466E441,yes,needs_review,historical_compilation
a88c9f273efe6350fe95953fb3cb05c5d7cfd01ed9f5022e1741c14e5cd0c241,D:\Documents\privat\MillenniumFalcon\mf\References\historical\0f2ecae4973f1af165f440250d26c628.jpg,historical\0f2ecae4973f1af165f440250d26c628.jpg,0f2ecae4973f1af165f440250d26c628.jpg,.jpg,98789,732,487,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-A88C9F273EFE,yes,needs_review,historical_compilation
207ce15dbfb0d66e7cd4a64b0a1fa93ff109b6cedf88fcc5adbfa580ddd93124,D:\Documents\privat\MillenniumFalcon\mf\References\historical\PropDen\1440x1027.jpg,historical\PropDen\1440x1027.jpg,1440x1027.jpg,.jpg,172616,1440,1027,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-207CE15DBFB0,yes,needs_review,historical_compilation
449eec664a00802f08e7ce829d4214e380462783188a66bb67c7e0707f0e5d05,D:\Documents\privat\MillenniumFalcon\mf\References\historical\14b9cc8d8a3abd0350cbf5184a7f4bd8.jpg,historical\14b9cc8d8a3abd0350cbf5184a7f4bd8.jpg,14b9cc8d8a3abd0350cbf5184a7f4bd8.jpg,.jpg,67037,700,473,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-449EEC664A00,yes,needs_review,historical_compilation
76254069fc7ee5b77fb2c665aea300c8ad9ad42e4c83da275a27056baeab6183,D:\Documents\privat\MillenniumFalcon\mf\References\historical\15965c572b323c929f0426adaaeeb47c.jpg,historical\15965c572b323c929f0426adaaeeb47c.jpg,15965c572b323c929f0426adaaeeb47c.jpg,.jpg,60396,720,555,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-76254069FC7E,yes,needs_review,historical_compilation
cbe3b7b103faeb6ac84579ef4acd0d8aff954a5e3daea2bd71eaeeb8cbe60d58,D:\Documents\privat\MillenniumFalcon\mf\References\historical\1_e5743cd044be212204e9521e9cfde9e5.jpg,historical\1_e5743cd044be212204e9521e9cfde9e5.jpg,1_e5743cd044be212204e9521e9cfde9e5.jpg,.jpg,309107,1600,1264,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-CBE3B7B103FA,yes,needs_review,historical_compilation
20d1a72d7410786d06fc4f808aac98e6e0f398ae8123167ea04b46b955c622e1,D:\Documents\privat\MillenniumFalcon\mf\References\historical\1_e5743cd044be212204e9521e9cfde9e5_1.jpg,historical\1_e5743cd044be212204e9521e9cfde9e5_1.jpg,1_e5743cd044be212204e9521e9cfde9e5_1.jpg,.jpg,423765,1600,1598,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-20D1A72D7410,yes,needs_review,historical_compilation
169f0287583ebd19d3d9dda5c484bba75aed8aaf32591a7a1ac8770ce7f16bed,D:\Documents\privat\MillenniumFalcon\mf\References\historical\1_e5743cd044be212204e9521e9cfde9e5_2.jpg,historical\1_e5743cd044be212204e9521e9cfde9e5_2.jpg,1_e5743cd044be212204e9521e9cfde9e5_2.jpg,.jpg,382698,1534,1216,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-169F0287583E,yes,needs_review,historical_compilation
2a658b2a2021c9df3bae4cd2e3bce24d930e4afd8a62670944c5f6d5c30479e4,D:\Documents\privat\MillenniumFalcon\mf\References\historical\1c035a6585f09030f6530a2129d97d0d.jpg,historical\1c035a6585f09030f6530a2129d97d0d.jpg,1c035a6585f09030f6530a2129d97d0d.jpg,.jpg,127730,800,1037,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-2A658B2A2021,yes,needs_review,historical_compilation
74454ee324e6d5d04ae6592d0b304306b6b681c53f3cee2ab0c59f83f45e82ba,D:\Documents\privat\MillenniumFalcon\mf\References\historical\PropDen\21161_872023106196036_1458256539408374004_n.jpg,historical\PropDen\21161_872023106196036_1458256539408374004_n.jpg,21161_872023106196036_1458256539408374004_n.jpg,.jpg,19402,960,561,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-74454EE324E6,yes,needs_review,historical_compilation
bdd3544a8bb181a289d153129081d94bdb668dca41258ff13bb0a0782dcedac7,D:\Documents\privat\MillenniumFalcon\mf\References\historical\2944244e72de0f9ed25df3f1e259b1eb.jpg,historical\2944244e72de0f9ed25df3f1e259b1eb.jpg,2944244e72de0f9ed25df3f1e259b1eb.jpg,.jpg,43145,750,523,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-BDD3544A8BB1,yes,needs_review,historical_compilation
99e0d6ea789376e8522cbd8a04bed4e9a7b2cffda11f61117d69b5404e7c098f,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\328201574.jpg,historical\ssm\328201574.jpg,328201574.jpg,.jpg,82376,707,600,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-99E0D6EA7893,yes,needs_review,historical_compilation
68f9b4e4d5148f1b914662a2d900f82b226e0c9dbf65c22cf4bdbd39ce76c701,D:\Documents\privat\MillenniumFalcon\mf\References\historical\ssm\328211018.jpg,historical\ssm\328211018.jpg,328211018.jpg,.jpg,44002,640,480,mf_references,Millennium Falcon,historical,historical,historical,local historical compilation,medium,historical_reference,1,Millennium Falcon - historical - historical,REF-68F9B4E4D514,yes,needs_review,historical_compilation
