group_key,parsed_brand,parsed_scale,parsed_subject,file_count,views,confidence,best_kit_id,best_brand,best_scale,best_name,best_score,match_reasons,candidate_2,candidate_3,alternate_any_scale,notes,files
AF24_HawkerHarrier,Airfix,1/24,Hawker Harrier,5,back; front; left; right; top,high,173,Airfix,1/24,Hawker Harrier,112.0,brand; scale; 2 token overlap; name ratio,"4: Airfix 1/24 Hawker Hurricane Mk1 (76.44; brand, scale, 1 token overlap)","5: Airfix 1/24 Messerschmitt Bf109E (54.68; brand, scale)",,view typo: frot->front,AF24_HawkerHarrier_back.jpg; AF24_HawkerHarrier_frot.jpg; AF24_HawkerHarrier_left.jpg; AF24_HawkerHarrier_right.jpg; AF24_HawkerHarrier_top.jpg
AF24_HawkerHurricane,Airfix,1/24,Hawker Hurricane,5,back; front; left; right; top,high,4,Airfix,1/24,Hawker Hurricane Mk1,96.67,brand; scale; 2 token overlap; name ratio,"173: Airfix 1/24 Hawker Harrier (81.87; brand, scale, 1 token overlap, name ratio)","6: Airfix 1/24 P-51D Mustang (55.19; brand, scale)",,,AF24_HawkerHurricane_back.jpg; AF24_HawkerHurricane_front.jpg; AF24_HawkerHurricane_left.jpg; AF24_HawkerHurricane_right.jpg; AF24_HawkerHurricane_top.jpg
AF24_Messerschmitt,Airfix,1/24,Messerschmitt,5,back; front; left; right; top,high,5,Airfix,1/24,Messerschmitt Bf109E,108.43,brand; scale; 2 token overlap; name ratio,"173: Airfix 1/24 Hawker Harrier (57.06; brand, scale)","4: Airfix 1/24 Hawker Hurricane Mk1 (56.0; brand, scale)",,,AF24_Messerschmitt_back.jpg; AF24_Messerschmitt_front.jpg; AF24_Messerschmitt_left.jpg; AF24_Messerschmitt_right.jpg; AF24_Messerschmitt_top.jpg
AF24_P51D_Msutang,Airfix,1/24,P 51 D Msutang,5,back; front; left; right; top,high,6,Airfix,1/24,P-51D Mustang,108.16,brand; scale; 2 token overlap; name ratio,"4: Airfix 1/24 Hawker Hurricane Mk1 (52.94; brand, scale)","5: Airfix 1/24 Messerschmitt Bf109E (52.57; brand, scale)",,,AF24_P51D_Msutang_back.jpg; AF24_P51D_Msutang_front.jpg; AF24_P51D_Msutang_left.jpg; AF24_P51D_Msutang_right.jpg; AF24_P51D_Msutang_top.jpg
AF24_P51D_Msutang_02MPC,Airfix,1/24,P 51 D Msutang MPC,5,back; front; left; right; top,high,6,Airfix,1/24,P-51D Mustang,94.0,brand; scale; 2 token overlap; name ratio,"4: Airfix 1/24 Hawker Hurricane Mk1 (52.72; brand, scale)","5: Airfix 1/24 Messerschmitt Bf109E (52.4; brand, scale)",,filename mentions MPC/rebox; view typo: backjpg->back,AF24_P51D_Msutang_02MPC_backjpg.jpg; AF24_P51D_Msutang_02MPC_front.jpg; AF24_P51D_Msutang_02MPC_left.jpg; AF24_P51D_Msutang_02MPC_right.jpg; AF24_P51D_Msutang_02MPC_top.jpg
AF24_P51D_Msutang_03,Airfix,1/24,P 51 D Msutang,5,back; front; left; right; top,high,6,Airfix,1/24,P-51D Mustang,108.16,brand; scale; 2 token overlap; name ratio,"4: Airfix 1/24 Hawker Hurricane Mk1 (52.94; brand, scale)","5: Airfix 1/24 Messerschmitt Bf109E (52.57; brand, scale)",,,AF24_P51D_Msutang_03_back.jpg; AF24_P51D_Msutang_03_front.jpg; AF24_P51D_Msutang_03_left.jpg; AF24_P51D_Msutang_03_right.jpg; AF24_P51D_Msutang_03_top.jpg
AF600_ArkRoyal,Airfix,1/600,Ark Royal,5,back; front; left; right; top,high,175,Airfix,1/600,H.M.S. Ark Royal,106.0,brand; scale; 2 token overlap; name ratio,"8: Airfix 1/600 Scharnhorst (57.2; brand, scale)","174: Airfix 1/600 Bismarck / Tirpitz (56.86; brand, scale)",,,AF600_ArkRoyal_back.jpg; AF600_ArkRoyal_front.jpg; AF600_ArkRoyal_left.jpg; AF600_ArkRoyal_right.jpg; AF600_ArkRoyal_top.jpg
AF600_Belfast,Airfix,1/600,Belfast,5,back; front; left; right; top,high,176,Airfix,1/600,H.M.S. Belfast,104.8,brand; scale; 1 token overlap,"8: Airfix 1/600 Scharnhorst (58.0; brand, scale)","379: Airfix 1/600 H.M.S. Campbelltown (57.68; brand, scale)",,,AF600_Belfast_back.jpg; AF600_Belfast_front.jpg; AF600_Belfast_left.png; AF600_Belfast_right.png; AF600_Belfast_top.jpg
AF600_Belfast_02,Airfix,1/600,Belfast,5,back; front; left; right; top,high,176,Airfix,1/600,H.M.S. Belfast,104.8,brand; scale; 1 token overlap,"8: Airfix 1/600 Scharnhorst (58.0; brand, scale)","379: Airfix 1/600 H.M.S. Campbelltown (57.68; brand, scale)",,,AF600_Belfast_02_back.jpg; AF600_Belfast_02_front.jpg; AF600_Belfast_02_left.jpg; AF600_Belfast_02_right.jpg; AF600_Belfast_02_top.jpg
AF600_Bismarck,Airfix,1/600,Bismarck,5,back; front; left; right; top,high,174,Airfix,1/600,Bismarck / Tirpitz,103.67,brand; scale; 2 token overlap,"380: Airfix 1/600 H.M.S. Warspite (59.6; brand, scale)","175: Airfix 1/600 H.M.S. Ark Royal (59.29; brand, scale)",,,AF600_Bismarck_back.jpg; AF600_Bismarck_front.jpg; AF600_Bismarck_left.jpg; AF600_Bismarck_right.jpg; AF600_Bismarck_top.jpg
AF600_Bismarck_02,Airfix,1/600,Bismarck,5,back; front; left; right; top,high,174,Airfix,1/600,Bismarck / Tirpitz,103.67,brand; scale; 2 token overlap,"380: Airfix 1/600 H.M.S. Warspite (59.6; brand, scale)","175: Airfix 1/600 H.M.S. Ark Royal (59.29; brand, scale)",,,AF600_Bismarck_02_back.jpg; AF600_Bismarck_02_front.jpg; AF600_Bismarck_02_left.jpg; AF600_Bismarck_02_right.jpg; AF600_Bismarck_02_top.jpg
AF600_Bismarck_03,Airfix,1/600,Bismarck,5,back; front; left; right; top,high,174,Airfix,1/600,Bismarck / Tirpitz,103.67,brand; scale; 2 token overlap,"380: Airfix 1/600 H.M.S. Warspite (59.6; brand, scale)","175: Airfix 1/600 H.M.S. Ark Royal (59.29; brand, scale)",,,AF600_Bismarck_03_back.jpg; AF600_Bismarck_03_front.jpg; AF600_Bismarck_03_left.jpg; AF600_Bismarck_03_right.jpg; AF600_Bismarck_03_top.jpg
