group_key,parsed_brand,parsed_scale,parsed_subject,file_count,views,confidence,best_kit_id,best_brand,best_scale,best_name,best_score,match_reasons,candidate_2,candidate_3,alternate_any_scale,notes,files
AF600_hood_03,Airfix,1/600,hood,5,back; front; left; right; top,high,451,Airfix,1/600,H.M.S. Hood,101.71,brand; scale; 1 token overlap,"8: Airfix 1/600 Scharnhorst (56.4; brand, scale)","178: Airfix 1/600 H.M.S. Nelson (56.0; brand, scale)",,,AF600_hood_03_back.jpg; AF600_hood_03_front.jpg; AF600_hood_03_left.jpg; AF600_hood_03_right.jpg; AF600_hood_03_top.jpg
AF600_hood_04,Airfix,1/600,hood,5,back; front; left; right; top,high,451,Airfix,1/600,H.M.S. Hood,101.71,brand; scale; 1 token overlap,"8: Airfix 1/600 Scharnhorst (56.4; brand, scale)","178: Airfix 1/600 H.M.S. Nelson (56.0; brand, scale)",,,AF600_hood_04_back.jpg; AF600_hood_04_front.jpg; AF600_hood_04_left.jpg; AF600_hood_04_right.jpg; AF600_hood_04_top.jpg
AF600_hood_05,Airfix,1/600,hood,5,back; front; left; right; top,high,451,Airfix,1/600,H.M.S. Hood,101.71,brand; scale; 1 token overlap,"8: Airfix 1/600 Scharnhorst (56.4; brand, scale)","178: Airfix 1/600 H.M.S. Nelson (56.0; brand, scale)",,,AF600_hood_05_back.jpg; AF600_hood_05_front.jpg; AF600_hood_05_left.jpg; AF600_hood_05_right.jpg; AF600_hood_05_top.jpg
AF600_Mauretania,Airfix,1/600,Mauretania,5,back; front; left; right; top,high,7,Airfix,1/600,R.M.S. Mauretania,106.46,brand; scale; 1 token overlap; name ratio,"379: Airfix 1/600 H.M.S. Campbelltown (58.57; brand, scale)","380: Airfix 1/600 H.M.S. Warspite (58.0; brand, scale)",,,AF600_Mauretania_back.jpg; AF600_Mauretania_front.jpg; AF600_Mauretania_left.jpg; AF600_Mauretania_right.jpg; AF600_Mauretania_top.jpg
AF600_Mauretania_02,Airfix,1/600,Mauretania,5,back; front; left; right; top,high,7,Airfix,1/600,R.M.S. Mauretania,106.46,brand; scale; 1 token overlap; name ratio,"379: Airfix 1/600 H.M.S. Campbelltown (58.57; brand, scale)","380: Airfix 1/600 H.M.S. Warspite (58.0; brand, scale)",,,AF600_Mauretania_02_back.jpg; AF600_Mauretania_02_front.jpg; AF600_Mauretania_02_left.jpg; AF600_Mauretania_02_right.jpg; AF600_Mauretania_02_top.jpg
AF600_nelson,Airfix,1/600,nelson,1,back,high,178,Airfix,1/600,H.M.S. Nelson,104.0,brand; scale; 1 token overlap,"379: Airfix 1/600 H.M.S. Campbelltown (58.0; brand, scale)","176: Airfix 1/600 H.M.S. Belfast (57.58; brand, scale)",,,AF600_nelson_back.jpg
AF600_Nelson,Airfix,1/600,Nelson,4,front; left; right; top,high,178,Airfix,1/600,H.M.S. Nelson,104.0,brand; scale; 1 token overlap,"379: Airfix 1/600 H.M.S. Campbelltown (58.0; brand, scale)","176: Airfix 1/600 H.M.S. Belfast (57.58; brand, scale)",,paceholder,AF600_Nelson_front_paceholder.jpg; AF600_Nelson_left.jpg; AF600_Nelson_right.jpg; AF600_Nelson_top.jpg
AF600_Nelson_02,Airfix,1/600,Nelson,5,back; front; left; right; top,high,178,Airfix,1/600,H.M.S. Nelson,104.0,brand; scale; 1 token overlap,"379: Airfix 1/600 H.M.S. Campbelltown (58.0; brand, scale)","176: Airfix 1/600 H.M.S. Belfast (57.58; brand, scale)",,,AF600_Nelson_02_back.jpg; AF600_Nelson_02_front.jpg; AF600_Nelson_02_left.jpg; AF600_Nelson_02_right.jpg; AF600_Nelson_02_top.jpg
AF600_Nelson_03,Airfix,1/600,Nelson,5,back; front; left; right; top,high,178,Airfix,1/600,H.M.S. Nelson,104.0,brand; scale; 1 token overlap,"379: Airfix 1/600 H.M.S. Campbelltown (58.0; brand, scale)","176: Airfix 1/600 H.M.S. Belfast (57.58; brand, scale)",,,AF600_Nelson_03_back.jpg; AF600_Nelson_03_front.jpg; AF600_Nelson_03_left.jpg; AF600_Nelson_03_right.jpg; AF600_Nelson_03_top.jpg
AMT_1-25_1958-Chevy-Impala,AMT,1/25,1958 Chevy Impala,5,back; front; left; right; top,high,203,AMT,1/25,1958 Chevy Impala,112.0,brand; scale; 3 token overlap; name ratio,"209: AMT 1/25 55 Chevy Nomad (73.08; brand, scale, 1 token overlap)","216: AMT 1/25 Chevy Titan 90 (69.99; brand, scale, 1 token overlap)",,,AMT_1-25_1958-Chevy-Impala_back.png; AMT_1-25_1958-Chevy-Impala_front.png; AMT_1-25_1958-Chevy-Impala_left.png; AMT_1-25_1958-Chevy-Impala_right.png; AMT_1-25_1958-Chevy-Impala_top.png
AMT_1-25_32-Ford-Five-Window-,AMT,1/25,32 Ford Five Window,5,back; front; left; right; top,high,204,AMT,1/25,32 Ford Five-Window Coupe,101.13,brand; scale; 4 token overlap; name ratio,"205: AMT 1/25 32 Ford Phaeton (79.32; brand, scale, 2 token overlap)","206: AMT 1/25 34 Ford Pickup (67.97; brand, scale, 1 token overlap)",,,AMT_1-25_32-Ford-Five-Window-_back.png; AMT_1-25_32-Ford-Five-Window-_front.png; AMT_1-25_32-Ford-Five-Window-_left.png; AMT_1-25_32-Ford-Five-Window-_right.png; AMT_1-25_32-Ford-Five-Window-_top.png
