attachment_filename,attachment_href,local_path,exists,aid,normalized_attachment,match_kind,confidence,map_id,map_name,previous_map_image_id,image_id,image_status,update_status,family_status
Port Sidewall complete copy.jpg,../images/Port Sidewall complete copy_aid_11327.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port Sidewall complete copy_aid_11327.php,True,11327,port sidewall complete,exact,1.0,29,Port Sidewall complete,507,507,existing,primary-linked,not-needed
port rear pie section copy.jpg,../images/port rear pie section copy_aid_11326.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port rear pie section copy_aid_11326.php,True,11326,port rear pie section,exact,1.0,28,port rear pie section,508,508,existing,primary-linked,not-needed
port rear maintenance pit copy.jpg,../images/port rear maintenance pit copy_aid_11325.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port rear maintenance pit copy_aid_11325.php,True,11325,port rear maintenance pit,exact,1.0,27,port rear maintenance pit,509,509,existing,primary-linked,not-needed
Port outer mandible copy.jpg,../images/Port outer mandible copy_aid_11324.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port outer mandible copy_aid_11324.php,True,11324,port outer mandible,exact,1.0,26,Port outer mandible,510,510,existing,primary-linked,not-needed
Port Mandible top copy.jpg,../images/Port Mandible top copy_aid_11323.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port Mandible top copy_aid_11323.php,True,11323,port mandible top,exact,1.0,25,Port mandible top,511,511,existing,primary-linked,not-needed
port mandible junction copy.jpg,../images/port mandible junction copy_aid_11322.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port mandible junction copy_aid_11322.php,True,11322,port mandible junction,exact,1.0,24,port mandible junction,512,512,existing,primary-linked,not-needed
port mandible bottom copy.jpg,../images/port mandible bottom copy_aid_11321.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port mandible bottom copy_aid_11321.php,True,11321,port mandible bottom,exact,1.0,23,port mandible bottom,513,513,existing,primary-linked,not-needed
port inner mandible copy.jpg,../images/port inner mandible copy_aid_11320.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port inner mandible copy_aid_11320.php,True,11320,port inner mandible,exact,1.0,22,port inner mandible,514,514,existing,primary-linked,not-needed
port forward quarter copy.jpg,../images/port forward quarter copy_aid_11319.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\port forward quarter copy_aid_11319.php,True,11319,port forward quarter,exact,1.0,21,port forward quarter,515,515,existing,primary-linked,not-needed
Port Docking Ring copy.jpg,../images/Port Docking Ring copy_aid_11318.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port Docking Ring copy_aid_11318.php,True,11318,port docking ring,exact,1.0,20,Port Docking Ring,516,516,existing,primary-linked,not-needed
Port bottom rear mandible pit copy.jpg,../images/Port bottom rear mandible pit copy_aid_11317.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port bottom rear mandible pit copy_aid_11317.php,True,11317,port bottom rear mandible pit,exact,1.0,19,Port bottom rear mandible pit,517,517,existing,primary-linked,not-needed
Port bottom pit copy.jpg,../images/Port bottom pit copy_aid_11316.php,D:\Manuel\MillenniumFalcon\Websites\scifikitbash_mirror\images\Port bottom pit copy_aid_11316.php,True,11316,port bottom pit,exact,1.0,18,Port bottom pit,518,518,existing,primary-linked,not-needed
